Category,X,Y
Residential,45,126
Residential,45,127
Residential,45,128
Residential,45,129
Residential,45,130
Residential,45,132
Residential,45,133
Residential,45,135
Residential,45,136
Residential,45,137
Residential,45,138
Residential,45,139
Residential,45,140
Residential,45,142
Residential,45,143
Residential,45,144
Residential,45,145
Residential,45,146
Residential,45,147
Residential,45,148
Residential,45,150
Residential,45,151
Residential,45,153
Residential,45,155
Residential,45,156
Residential,45,157
Residential,45,158
Residential,45,159
Residential,45,160
Residential,45,161
Residential,45,163
Residential,45,164
Residential,45,165
Residential,45,166
Residential,45,167
Residential,45,168
Residential,45,169
Residential,45,170
Residential,45,171
Residential,45,172
Residential,45,174
Residential,45,175
Residential,45,176
Residential,45,178
Residential,45,179
Residential,45,181
Residential,45,190
Residential,45,191
Residential,45,192
Residential,45,193
Residential,45,195
Residential,47,1
Residential,47,2
Residential,47,3
Residential,47,4
Residential,47,7
Residential,47,9
Residential,47,10
Residential,47,11
Residential,47,12
Residential,47,13
Residential,47,14
Residential,47,15
Residential,47,17
Residential,47,19
Residential,47,20
Residential,47,21
Residential,47,22
Residential,47,23
Residential,47,24
Residential,47,49
Residential,47,50
Residential,47,51
Residential,47,52
Residential,47,53
Residential,47,54
Residential,47,55
Residential,47,56
Residential,47,59
Residential,47,60
Residential,47,61
Residential,47,62
Residential,47,63
Residential,47,64
Residential,47,65
Residential,47,66
Residential,47,67
Residential,47,69
Residential,47,70
Residential,47,71
Residential,47,72
Residential,47,73
Residential,47,74
Residential,47,76
Residential,47,77
Residential,47,78
Residential,47,80
Residential,47,81
Residential,47,82
Residential,47,83
Residential,47,84
Residential,47,85
Residential,47,86
Residential,47,87
Residential,47,88
Residential,47,90
Residential,47,91
Residential,47,92
Residential,47,94
Residential,47,96
Residential,47,113
Residential,47,114
Residential,47,115
Residential,47,116
Residential,47,117
Residential,47,118
Residential,47,119
Residential,47,121
Residential,47,122
Residential,47,123
Residential,47,124
Residential,47,125
Residential,47,126
Residential,47,127
Residential,47,128
Residential,47,129
Residential,47,130
Residential,47,133
Residential,47,134
Residential,47,136
Residential,47,137
Residential,47,138
Residential,47,139
Residential,47,140
Residential,47,143
Residential,47,144
Residential,47,145
Residential,47,147
Residential,47,148
Residential,47,149
Residential,47,150
Residential,47,151
Residential,47,153
Residential,47,154
Residential,47,156
Residential,47,157
Residential,47,158
Residential,47,159
Residential,47,160
Residential,47,163
Residential,47,164
Residential,47,165
Residential,47,166
Residential,47,167
Residential,47,168
Residential,47,169
Residential,47,170
Residential,47,171
Residential,47,172
Residential,47,174
Residential,47,175
Residential,47,176
Residential,47,177
Residential,47,178
Residential,47,179
Residential,47,180
Residential,47,181
Residential,47,190
Residential,47,192
Residential,47,193
Residential,47,195
Residential,49,0
Residential,49,1
Residential,49,7
Residential,49,8
Residential,49,9
Residential,49,10
Residential,49,11
Residential,49,12
Residential,49,13
Residential,49,14
Residential,49,15
Residential,49,17
Residential,49,18
Residential,49,19
Residential,49,20
Residential,49,21
Residential,49,48
Residential,49,49
Residential,49,51
Residential,49,52
Residential,49,53
Residential,49,54
Residential,49,55
Residential,49,56
Residential,49,57
Residential,49,60
Residential,49,61
Residential,49,62
Residential,49,63
Residential,49,64
Residential,49,65
Residential,49,66
Residential,49,67
Residential,49,69
Residential,49,70
Residential,49,71
Residential,49,72
Residential,49,73
Residential,49,74
Residential,49,75
Residential,49,76
Residential,49,77
Residential,49,78
Residential,49,80
Residential,49,81
Residential,49,82
Residential,49,83
Residential,49,84
Residential,49,85
Residential,49,86
Residential,49,87
Residential,49,88
Residential,49,90
Residential,49,91
Residential,49,92
Residential,49,93
Residential,49,94
Residential,49,95
Residential,49,113
Residential,49,114
Residential,49,115
Residential,49,116
Residential,49,117
Residential,49,118
Residential,49,119
Residential,49,121
Residential,49,122
Residential,49,123
Residential,49,124
Residential,49,125
Residential,49,126
Residential,49,127
Residential,49,128
Residential,49,129
Residential,49,132
Residential,49,133
Residential,49,134
Residential,49,135
Residential,49,136
Residential,49,137
Residential,49,138
Residential,49,139
Residential,49,143
Residential,49,144
Residential,49,145
Residential,49,146
Residential,49,147
Residential,49,148
Residential,49,149
Residential,49,150
Residential,49,151
Residential,49,154
Residential,49,155
Residential,49,156
Residential,49,157
Residential,49,158
Residential,49,159
Residential,49,160
Residential,49,161
Residential,49,163
Residential,49,164
Residential,49,165
Residential,49,166
Residential,49,167
Residential,49,168
Residential,49,169
Residential,49,170
Residential,49,171
Residential,49,172
Residential,49,174
Residential,49,175
Residential,49,176
Residential,49,177
Residential,49,178
Residential,49,179
Residential,49,180
Residential,49,187
Residential,49,188
Residential,49,189
Residential,49,192
Residential,49,193
Residential,49,195
Residential,51,0
Residential,51,3
Residential,51,6
Residential,51,7
Residential,51,8
Residential,51,10
Residential,51,12
Residential,51,13
Residential,51,14
Residential,51,21
Residential,51,48
Residential,51,49
Residential,51,50
Residential,51,51
Residential,51,52
Residential,51,53
Residential,51,54
Residential,51,56
Residential,51,57
Residential,51,59
Residential,51,60
Residential,51,61
Residential,51,62
Residential,51,63
